utc_time,x_error (m),y_error (m),z_error (m),satclockerror (m)
9/5/2025 16:00,-0.57610292,-0.402849182,-1.351126709,3.539315793
9/5/2025 18:00,3.445733432,3.099001653,-4.695303034,2.764791874
9/5/2025 20:00,3.034154851,2.862683993,-2.96770321,-3.944828262
9/5/2025 22:00,-0.984422423,-0.855737045,0.250258381,3.314462305
9/6/2025 0:00,-0.789052434,0.115149252,8.13076666,0.979490283
9/6/2025 2:00,-1.538584944,-0.455759063,4.866609334,-0.699990956
9/6/2025 4:00,4.840288095,4.753468998,-1.527394264,0.556424695
9/6/2025 6:00,0.826502983,0.811282951,-0.75307072,0.522427481
9/6/2025 8:00,-0.142223269,-0.167870373,0.006232766,-3.179040926
9/6/2025 10:00,0.052855279,-0.113580305,0.019438772,-3.428939225
9/6/2025 12:00,-4.939801153,-14.94428306,-4.85693767,-4.634100439
9/6/2025 14:00,3.912175391,15.24969823,12.69978229,7.477469745
9/6/2025 16:00,2.890248884,2.821442712,-0.050691614,2.379983881
9/6/2025 18:00,1.23002591,1.303032275,-4.181735093,3.458540252
9/6/2025 20:00,1.496998135,1.386959512,-5.309914549,-0.179841568
